2.23471, -10.4854, -0.352311
0.234715, -10.474, -0.352311
0.234715, -10.4854, 2.18392
2.23471, -10.4854, 2.18392
2.23497, 3.4254, -0.352108
0.234973, 3.4254, -0.352108
0.234974, 3.4254, 2.18413
2.23497, 3.4254, 2.18413
//
7.43562,-4.43009,1.91715
-4.85348,-4.43009,1.91715
-4.85348,-4.43009,1.50724
7.43562,-4.43009,1.50724
7.43562,-2.43009,1.91715
-4.85348,-2.43009,1.91715
-4.85348,-2.43009,1.50724
7.43562,-2.43009,1.50724
//
7.43562,-4.43009,0.094967
-4.85348,-4.43009,0.094967
-4.85348,-4.43009,-0.314937
7.43562,-4.43009,-0.314937
7.43562,-2.43009,0.094967
-4.85348,-2.43009,0.094967
-4.85348,-2.43009,-0.314937
7.43562,-2.43009,-0.314937
//
3.80732,-12.0828,1.62638
-1.6463,-12.3524,1.03483
-1.58903,-12.3688,0.514295
3.93409,-12.1212,1.10584
3.79604,-11.8348,1.61734
-1.65758,-12.1044,1.02579
-1.60031,-12.1208,0.505253
3.85331,-11.8512,1.0968
//
1.76525, -12.8493, 0.116672
0.703643, -12.8454, 0.116672
0.703643, -12.8499, 1.71452
1.76525, -12.852, 1.71452
2.23471, -10.4854, -0.352311
0.234715, -10.474, -0.352311
0.234715, -10.4854, 2.18392
2.23471, -10.4854, 2.18392
//
2.3741, 4.74862, 0.577013
0.213399, 4.74862, 0.577013
0.213399, 4.74862, 1.58313
2.3741, 4.74862, 1.58313
3.21254, 6.22247, 0.577013
-0.62504, 6.22247, 0.577013
-0.62504, 6.22247, 1.58313
3.21254, 6.22247, 1.58313
//
1.47309, 3.96084, 1.35897
0.978001, 3.96084, 1.35897
0.978001, 3.96084, 1.97097
1.47309, 3.96084, 1.97097
1.47309, 5.96084, 1.35897
0.978001, 5.96084, 1.35897
0.978001, 5.96084, 3.35897
1.47309, 5.96084, 3.35897
//
2.23497, 3.4254, -0.352108
0.234973, 3.4254, -0.352108
0.234974, 3.4254, 2.18413
2.23497, 3.4254, 2.18413
1.52531, 5.98664, 1.2557
0.944635, 5.98664, 1.2557
0.944635, 5.98664, 1.91529
1.52531, 5.98664, 1.91529
